Years Experience,Employed?,Previous employers,Level of Education,Top-tier school,Interned,Hired
10,Y,4,BS,N,N,Y
0,N,0,BS,Y,Y,Y
7,N,6,BS,N,N,N
2,Y,1,MS,Y,N,Y
20,N,2,PhD,Y,N,N
0,N,0,PhD,Y,Y,Y
5,Y,2,MS,N,Y,Y
3,N,1,BS,N,Y,Y
15,Y,5,BS,N,N,Y
0,N,0,BS,N,N,N
1,N,1,PhD,Y,N,N
4,Y,1,BS,N,Y,Y
0,N,0,PhD,Y,N,Y
14,Y,0,BS,N,N,Y
2,Y,0,MS,Y,N,Y
3,Y,1,MS,Y,N,N
11,Y,3,MS,N,N,Y
2,N,2,PhD,Y,N,N
1,Y,0,PhD,Y,N,N
4,Y,2,MS,N,N,Y
5,Y,1,MS,N,Y,N
5,Y,5,MS,N,N,Y
3,Y,0,MS,Y,N,N
5,N,1,PhD,Y,N,N
2,N,1,BS,N,Y,N
22,Y,0,PhD,Y,N,N
